id	url	source	notes
1	https://job-boards.greenhouse.io/wolt/jobs/6881871	pipeline	Wolt | Machine Learning Engineer, Retail Platforms
2	https://careers.wolt.com/en/jobs/data-scientist-support-(genai)/42725e2	pipeline	Wolt | Data Scientist, Support (GenAI)
3	https://jobs.ashbyhq.com/sana-roles/d5fd55a8-dc57-44da-995c-b063411881d8	pipeline	Sana Labs | AI Engineer
4	https://jobs.ashbyhq.com/granola/ed52eb55-cb81-4ed8-b97b-92b477876f9e	pipeline	Granola | AI Engineer
5	https://helsing.ai/jobs/4678205101	pipeline	Helsing | AI Engineer
6	https://careers.nordea.com/job/Stockholm-Data-Scientist-Generative-AI-LLM-111-46/1228441801/	pipeline	Nordea | Data Scientist - Generative AI / LLM
7	https://kyutai.homerun.co/technical-staff	pipeline	Kyutai | Technical Staff - ML Engineering track
8	https://jobs.lever.co/qonto	pipeline	Qonto | Machine Learning Engineer
9	https://boards.greenhouse.io/telnyx54/jobs/5785266003	pipeline	Telnyx | ML Engineer - Conversational AI
10	https://www.welcometothejungle.com/en/companies/nabla/jobs/machine-learning-engineer_paris_NABLA_V7oGaQk	pipeline	Nabla | Machine Learning Engineer
11	https://poolside.ai/careers/member-of-engineering-evaluations-engineering--df54a608-9fd9-4c09-aad1-7de71a0d487e	pipeline	Poolside AI | Member of Engineering (Evaluations)
12	https://jobs.lever.co/aircall/38f0617f-7a28-4381-9377-cae4827a3cd1	pipeline	Aircall | Full-Stack Software Engineer, AI
13	https://www.welcometothejungle.com/en/companies/mirakl/jobs/junior-ai-engineer_paris	pipeline	Mirakl | Junior AI Engineer
14	https://jobs.ashbyhq.com/owkin/9d054242-7609-4089-b292-5b541cf8b182	pipeline	Owkin | Software Engineer (Data Transformation Agent)
15	https://jobs.ashbyhq.com/taxfix.com/8f33e17f-03d4-40df-9f21-3ea521fd5d61	pipeline	Taxfix | AI Engineer
16	https://jobs.lever.co/quantco-/67757fe8-3582-4bdd-aa7d-98fa490bde84	pipeline	QuantCo | AI Engineer
17	https://jobs.lever.co/quantco-/3e18574e-ab5a-46a2-8714-a0221fb937e7	pipeline	QuantCo | Data Scientist
18	https://n26.com/en-eu/careers/positions/7317034	pipeline	N26 | AI Engineer - Banking Foundations
19	https://jobs.ashbyhq.com/synthflow/2ec277c9-3ceb-4c58-ae3f-ca674da59b0c	pipeline	Synthflow AI | AI Engineer (LLM)
20	https://job-boards.greenhouse.io/blackforestlabs/jobs/4132217008	pipeline	Black Forest Labs | Member of Technical Staff - Image/Video Generation
21	https://jobviewtrack.com/v2/Ufxttr8Ta4CvgY4B9izc04P-xlIopsQGJ49Yi9eTZmixoOgXjP9OrYa23rP_eV7yfp4TY3PU1tRlfFNeZhJAc9hjsGbUtUiS_bT3gec3iHPCtcEmgTRCFAwwGAbSdZPHtsy0IsvrZ4tHujvU50-M4l2UDWFM3Hsk3mrrO68PAcZdudRnfriz9GZvyEFqbEHZ7zxkrn4JXm8hw3k7Nbr6x_Q3aFbl08mDvfL2pQGfDNw	pipeline	SevenLab | AI solutions engineer
