source	reason	title	company	location	url
greenhouse-api	title	トレカエキスパート	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7434054
greenhouse-api	title	エキスパート（マンガ・アニメ・コミック）	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7841237
greenhouse-api	title	Accounting & Reporting Intern	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7966036
greenhouse-api	title	Backend Software Engineer	Catawiki	Lisbon, Portugal	https://job-boards.greenhouse.io/catawiki/jobs/5758060
greenhouse-api	title	Business Development Intern	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7979265
greenhouse-api	title	Category Lead Toys & Models	Catawiki	France; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7815373
greenhouse-api	title	Category Manager Asian & Tribal Arts	Catawiki	Amsterdam, Netherlands; France; Italy	https://job-boards.greenhouse.io/catawiki/jobs/7566301
greenhouse-api	title	Category Manager Coins & Banknotes	Catawiki	France; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7457386
greenhouse-api	title	Category Manager E-Commerce	Catawiki	Amsterdam, Netherlands; France; Italy	https://job-boards.greenhouse.io/catawiki/jobs/7566371
greenhouse-api	title	Category Manager E-Commerce	Catawiki	France; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7541003
greenhouse-api	title	Category Manager Trading Cards	Catawiki	France; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7461373
greenhouse-api	title	Category Marketing Specialist	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7775101
greenhouse-api	title	Commercial Operations Project Manager	Catawiki	Amsterdam, Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7835396
greenhouse-api	title	Commercial Operations Project Manager	Catawiki	Lisbon, Portugal	https://job-boards.greenhouse.io/catawiki/jobs/7835409
greenhouse-api	title	Communications Specialist	Catawiki	Lisbon, Portugal	https://job-boards.greenhouse.io/catawiki/jobs/7820381
greenhouse-api	title	Creative & Marketing Freelancer Network	Catawiki	Remote - Europe	https://job-boards.greenhouse.io/catawiki/jobs/7984507
greenhouse-api	title	CRM Marketing Intern	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/8002465
greenhouse-api	title	CRM Specialist - Lisbon	Catawiki	Lisbon, Portugal	https://job-boards.greenhouse.io/catawiki/jobs/7820792
greenhouse-api	title	Dutch and Belgian Classical & Modern Art Expert	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7700766
greenhouse-api	title	Expert Asian Art & Antiques	Catawiki	Belgium; Berlin, Germany; France; Germany; Italy; Lisbon, Portugal; Netherlands; Poland; Portugal; Remote - Europe; Spain; United Kingdom	https://job-boards.greenhouse.io/catawiki/jobs/7962853
greenhouse-api	title	Expert Bullion	Catawiki	Belgium; France; Germany; Italy; Netherlands; Poland; Portugal; Spain; United Kingdom	https://job-boards.greenhouse.io/catawiki/jobs/7540940
greenhouse-api	title	Expert Cameras and Opticals カメラエキスパート	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7614934
greenhouse-api	title	Expert Comics Manga & Anime	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7815401
greenhouse-api	title	Expert Comics - Tintin & Dutch Traditional Comics	Catawiki	Belgium; France; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7270250
greenhouse-api	title	Expert Dutch and Belgian Comics	Catawiki	Remote - Europe	https://job-boards.greenhouse.io/catawiki/jobs/7981719
greenhouse-api	title	ファッションエキスパート Expert Fashion	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7738216
greenhouse-api	title	Expert Fashion (Japanese Speaking)	Catawiki	United Kingdom	https://job-boards.greenhouse.io/catawiki/jobs/7855931
greenhouse-api	title	Expert Literature Books	Catawiki	Amsterdam, Netherlands; Berlin, Germany; France	https://job-boards.greenhouse.io/catawiki/jobs/7959727
greenhouse-api	title	Expert Model Trains	Catawiki	Belgium; France; Germany; Italy; Netherlands; Portugal; Spain; United Kingdom	https://job-boards.greenhouse.io/catawiki/jobs/7988470
greenhouse-api	title	Expert Pokemon & Trading Cards	Catawiki	Germany; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7510992
greenhouse-api	title	ジュエリーエキスパート (Expert Pre-Owned & Brand Jewellery)	Catawiki	Japan	https://job-boards.greenhouse.io/catawiki/jobs/7307871
greenhouse-api	title	Expert Pre-Owned & Brand Jewellery (Japanese Speaking)	Catawiki	Belgium; France; Germany; Italy; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7864634
greenhouse-api	title	Expert Stamps Benelux	Catawiki	Belgium; Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7988473
greenhouse-api	title	Expert Vintage Lighting	Catawiki	Remote - Europe	https://job-boards.greenhouse.io/catawiki/jobs/7661304
greenhouse-api	title	IT Systems & Services Intern	Catawiki	Netherlands	https://job-boards.greenhouse.io/catawiki/jobs/7984387
